# doc_id	method	coverage	matched/total — below threshold, need a look
8091	marker	0.29	5/17
8093	marker	0.10	70/679
81184	marker	0.39	9/23
8151	marker	0.43	3/7
8203	marker	0.49	65/134
82139	marker	0.17	4/23
82153	id	0.00	0/3
82155	id	0.25	1/4
82156	marker	0.32	12/38
82180	id	0.20	1/5
82182	id	0.00	0/3
8237	marker	0.00	0/12
82382	marker	0.00	0/8
8256	marker	0.00	0/4
8259	marker	0.33	2/6
82650	marker	0.33	1/3
8312	marker	0.00	0/1
8337	id	0.33	1/3
83529	marker	0.00	0/7
83609	marker	0.32	15/47
83845	marker	0.00	0/2
84017	marker	0.44	8/18
84064	marker	0.43	6/14
8415	marker	0.37	7/19
8443	marker	0.43	29/67
8476	marker	0.30	9/30
8486	marker	0.13	8/62
8520	marker	0.29	9/31
8557	marker	0.08	10/120
86143	marker	0.04	1/23
8618	marker	0.38	3/8
86264	marker	0.40	2/5
8646	marker	0.00	0/3
8660	marker	0.00	0/4
86733	marker	0.32	24/74
8683	marker	0.27	38/139
8687	marker	0.27	8/30
8740	marker	0.28	10/36
8805	marker	0.36	20/55
8838	marker	0.21	30/144
8857	marker	0.12	45/363
8858	marker	0.48	15/31
8872	marker	0.38	6/16
8880	marker	0.15	22/151
8932	marker	0.05	19/418
8936	id	0.14	1/7
9006	marker	0.17	23/138
9007	marker	0.08	15/183
9011	marker	0.17	9/52
9014	marker	0.33	9/27
9016	marker	0.42	13/31
9133	marker	0.48	23/48
91806	marker	0.11	21/196
9207	marker	0.38	5/13
9230	marker	0.38	5/13
9249	marker	0.43	3/7
9250	marker	0.28	9/32
9324	marker	0.30	8/27
93800	marker	0.18	22/119
95178	marker	0.17	19/111
9553	marker	0.00	0/1
957	marker	0.29	20/70
9582	marker	0.25	32/128
9670	marker	0.19	17/88
9683	marker	0.05	161/3219
9703	marker	0.46	6/13
9746	marker	0.17	8/46
9816	id	0.14	1/7
hhtquyetdinh_212	id	0.00	0/11
hhtquyetdinh_214	id	0.00	0/7
vbpqta_1792	marker	0.00	0/27
vbpqta_191	marker	0.00	0/15
vbpqta_2055	marker	0.00	0/110
vbpqta_2102	marker	0.00	0/20
vbpqta_2187	marker	0.00	0/98
vbpqta_28	marker	0.00	0/23
vbpqta_304	marker	0.00	0/54
vbpqta_7070	marker	0.00	0/8
vbpqta_907	marker	0.00	0/6
vbpqta_914	marker	0.00	0/386
